ID CONTRATO,RUC CONTRATISTA,TIPO PENALIDAD,OBJETO CONTRATO,ENTIDAD CONTRATANTE,FECHA PENALIDAD,DESCRIPCION/MOTIVO,MONTO
1097011,20518759079,OTRA PENALIDAD,BIENES,MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO - MOQUEGUA,19/10/2017,POR MORA POR CADA DÍA DE ATRASO,"808,3"
1015825,20100686814,OTRA PENALIDAD,SERVICIOS,MINISTERIO DE ECONOMIA Y FINANZAS,6/10/2017,Otras penalidades,"4030,63"
1142903,20263322496,OTRA PENALIDAD,BIENES,PETROLEOS DEL PERU S.A.,9/1/2018,NUMERAL 5 REGLAMENTO ,"4984,53"
1145113,20100042500,POR MORA,BIENES,PETROLEOS DEL PERU S.A.,14/2/2018,por demora en la entrega,"4320,89"
1058003,20509422444,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,14/6/2017,RETRASO INJUSTIFICADO,"139,28"
1054786,20547031807,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,14/12/2017,RETRASO INJUSTIFICADO,"184,01"
1112993,20100154308,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,29/12/2017,RETRASO INJUSTIFICADO,"163,29"
1046324,20600090756,OTRA PENALIDAD,SERVICIOS,FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL,17/2/2017,POR AUSENCIA DE TRABAJADOR,"39,5"
986066,20100154308,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,28/8/2017,RETRASO INJUSTIFICADO,"104,17"
1036880,20518755162,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,23/11/2017,RETRASO INJUSTIFICADO,"131,88"
1079518,20549250930,POR MORA,SERVICIOS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,6/3/2017,PENALIDAD POR MORA,"811,25"
888811,20511914125,POR MORA,BIENES,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,20/9/2017,POR MORA,"12751,58"
881932,10105873633,OTRA PENALIDAD,SERVICIOS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,7/8/2017,OTRAS PENALIDADES,"15483,49"
880999,20434331138,POR MORA,SERVICIOS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,29/12/2016,demora en la devolución de los cargos - contrato complementario,"11186,53"
1040088,20332148550,POR MORA,BIENES,PROGRAMA EDUCACION BASICA PARA TODOS UE 026,14/9/2017,INCUMPLIMIENTO INJUSTIFICADO DE SUS OBLIGACIONES CONTRACTUALES,5408.00
1052362,20547031807,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,24/10/2017,RETRASO INJUSTIFICADO,"302,27"
1073878,20488969952,POR MORA,SERVICIOS,PODER JUDICIAL,27/6/2017,Penalidad por demora en la entrega durante el mes de Mayo  2017,"75,13"
1019846,20103358761,OTRA PENALIDAD,SERVICIOS,FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL,13/2/2017,NO CONTAR CON CARNET SUCAMEC AGENTE ,2600.00
1102520,20419136906,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,13/12/2017,RETRASO INJUSTIFICADO,"5411,25"
1112993,20100154308,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,11/12/2017,RETRASO INJUSTIFICADO,1.00
1035394,20518755162,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,9/8/2017,RETRASO INJUSTIFICADO,"342,2"
1082531,20347375412,POR MORA,SERVICIOS,FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL,21/11/2017,POR ATRASO DE ENTREGA DE SERVICIO,"1397,65"
1052362,20547031807,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,29/12/2017,RETRASO INJUSTIFICADO,"4121,24"
1054786,20547031807,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,9/11/2017,RETRASO INJUSTIFICADO,"12,26"
1059548,20499599405,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,2/3/2018,RETRASO INJUSITIFICADO,"65,63"
950542,20100017491,OTRA PENALIDAD,SERVICIOS,ZONA REGISTRAL N° V SEDE TRUJILLO,15/9/2017,NO SE CUENTA CON IMPLEMANTACION DE FIBRA EN OFICINAS,"7479,72"
1053095,20600512472,OTRA PENALIDAD,SERVICIOS,PETROLEOS DEL PERU S.A.,18/9/2016,NO PAGAR OPORTUNAMENTE LAS APORTACIONES Y BENEFICIOS SOCIALES DE SUS TRABAJADORES,8690.00
1102109,20100017491,POR MORA,BIENES,ZONA REGISTRAL N° X SEDE CUSCO,4/1/2018,Penalidad por mora ,"8139,4"
1059840,20317998563,OTRA PENALIDAD,SERVICIOS,MINISTERIO DE ECONOMIA Y FINANZAS,13/11/2017,Otras penalidades,1050.00
1115184,20602036848,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,24/10/2017,RETRASO  INJUSTIFICADO,"562,5"
1052362,20547031807,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,23/6/2017,RETRASO INJUSTIFICADO,"36,66"
1142347,20499599405,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,28/2/2018,RETRASO INJUSITIFICADO,"94,69"
1127929,20373606431,POR MORA,BIENES,CENTRO VACACIONAL HUAMPANI,9/3/2018,RETRASO INJUSITIFICADO,"31,25"
1083359,20601727146,POR MORA,SERVICIOS,PETROLEOS DEL PERU S.A.,28/8/2017,SEGUN CARTAS,1215.00
1126039,20494603684,POR MORA,SERVICIOS,CORTE SUPERIOR DE JUSTICIA DE UCAYALI,31/10/2017,Penalidad por retraso injustificado ,"1249,67"
1027236,20387377167,POR MORA,SERVICIOS,FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL,26/9/2016,POR DEMORA EN LA ENTREGA DEL SERVICIO,"3145,83"
1021306,20535029548,OTRA PENALIDAD,SERVICIOS,ZONA REGISTRAL N° XI SEDE ICA,7/6/2017,INCUMPLIMIENTO DEL PLAZO DE ENTREGA,"3,5"
950542,20100017491,OTRA PENALIDAD,SERVICIOS,ZONA REGISTRAL N° V SEDE TRUJILLO,15/6/2018,PENALIDAD POR RETRASO DE INFORME Y ENTREGA DE FACILIDADES Y TRASLADO / ALTAS ,"7479,72"
1144484,20101155588,OTRA PENALIDAD,SERVICIOS,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,12/4/2018,"Abandono de puesto, cambio sin autorización, puesto de vigilancia no cubierto y otros",2800.00
1144484,20101155588,OTRA PENALIDAD,SERVICIOS,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,18/5/2018,"Cambio sin autorización, no efectuar visita del supervisor, puesto no cubiertos y otro",1270.00
1043022,20256136865,POR MORA,SERVICIOS,CONTRALORIA GENERAL DE LA REPUBLICA,12/12/2017,Retraso Injustificado,"103,9"
1043022,20256136865,POR MORA,SERVICIOS,CONTRALORIA GENERAL DE LA REPUBLICA,16/5/2018,Retraso Injustificado,"2458,32"
1146930,20392581295,POR MORA,BIENES,COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS - DEVIDA,30/4/2018,POR MORA,"6642,2"
975884,20100162076,OTRA PENALIDAD,SERVICIOS,CONTRALORIA GENERAL DE LA REPUBLICA,17/10/2017,Ítem 09 de la Cláusula Décimo Cuarta,405.00
1084942,20480935587,POR MORA,SERVICIOS,PROGRAMA EDUCACION BASICA PARA TODOS UE 026,15/8/2017,RETRASO INJUSTIFICADO EN LAS PRESTACIONES,"16177,56"
831131,20100057523,POR MORA,SERVICIOS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,14/12/2017,Por retraso en la ejecución de la prestación,"1749,88"
698698,20100017491,OTRA PENALIDAD,SERVICIOS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,13/6/2017,OTRAS PENALIDADES,"909,45"
1021306,20535029548,OTRA PENALIDAD,SERVICIOS,ZONA REGISTRAL N° XI SEDE ICA,14/6/2016,INCUMPLIMIENTO DEL PLAZO DE ENTREGA,"4,38"
1074965,20102688857,OTRA PENALIDAD,SERVICIOS,DEFENSORIA DEL PUEBLO,3/4/2017,Por no cumplir con presentar el informe mensual sobre el estado de vigilancia y seguridad,200.00
1108554,20434331138,POR MORA,SERVICIOS,MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,12/3/2018,PENALIDAD POR MORA PERIODO 26.01.18 AL 25.02.18,"246,5"
1133985,20387377167,POR MORA,SERVICIOS,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,25/4/2018,Por atraso en la entrega y devolución de Documentos,"3926,8"
1107796,20529503688,OTRA PENALIDAD,SERVICIOS,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,1/12/2017,Cambio de agente sin autorización,500.00
1029982,20515552791,OTRA PENALIDAD,SERVICIOS,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,10/8/2016,OTRAS PENALIDADES,1350.00
1074841,20528068791,OTRA PENALIDAD,SERVICIOS,DEFENSORIA DEL PUEBLO,30/1/2017,Por no presentar los documentos necesarios para el pago,100.00
1074841,20528068791,OTRA PENALIDAD,SERVICIOS,DEFENSORIA DEL PUEBLO,4/12/2017,Por no cumplir con presentar el informe mensual sobre el estado de vigilancia y seguridad,200.00
1074841,20528068791,OTRA PENALIDAD,SERVICIOS,DEFENSORIA DEL PUEBLO,26/1/2018,Por no presentar los documentos necesarios para el pago,820.00
1110313,20455067465,OTRA PENALIDAD,SERVICIOS,CENTRO DE FORMACION EN TURISMO,15/6/2018,POR ABANDONO Y CAMBIO DEL PERSONAL DE LIMPIEZA,4980.00
975877,20100162076,OTRA PENALIDAD,SERVICIOS,CONTRALORIA GENERAL DE LA REPUBLICA,20/10/2017,Ítem 02 de la Cláusula Décimo Cuarta,"202,5"
811247,20100017491,OTRA PENALIDAD,BIENES,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,15/8/2017,OTRAS PENALIDADES,"396,75"
1034352,20347375412,OTRA PENALIDAD,SERVICIOS,MINISTERIO DE ECONOMIA Y FINANZAS,21/2/2018,OTRAS PENALIDADES,"3034,99"
1124985,20493036611,OTRA PENALIDAD,OBRAS,PROGRAMA AGUA SEGURA PARA LIMA Y CALLAO,23/3/2018,Valorizacion de Obra N° 3 Febrero 2018,"147186,07"
1144679,20515527681,POR MORA,SERVICIOS,MINISTERIO DE ECONOMIA Y FINANZAS,26/2/2018,POR MORA,3304.00
